number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,system_attrs_fixed_params,state
295,0.0,2026-06-30 12:40:31.839837,2026-06-30 12:40:36.543711,0 days 00:00:04.703874,857.1380963103506,-355.4699973945277,425.38779487778476,-911.9225119170247,-633.9275411288734,-221.1356557007021,-915.4783430448309,-44.40618006071965,,COMPLETE
296,-1.0,2026-06-30 12:40:35.567029,2026-06-30 12:40:40.469141,0 days 00:00:04.902112,891.7253063626736,-353.3078333301187,439.09915108806354,-765.4276750693165,-894.510630080573,-307.9034598537109,-916.2510401423809,-57.63623923829374,,COMPLETE
297,0.0,2026-06-30 12:40:36.565857,2026-06-30 12:40:41.636625,0 days 00:00:05.070768,893.5084074819965,-401.4254010620285,511.45138535427975,-759.4782283217703,-892.2318391506769,-326.23861754093275,-950.8456452755843,76.89472361363808,,COMPLETE
298,-1.0,2026-06-30 12:40:40.514748,2026-06-30 12:40:44.796746,0 days 00:00:04.281998,756.3547041840283,-399.10901392732114,508.14303276287785,-662.9512308921474,-704.4946856110264,-520.6850235522396,-959.1624029326849,11.656624013218291,,COMPLETE
299,0.0,2026-06-30 12:40:41.654170,2026-06-30 12:40:45.771269,0 days 00:00:04.117099,-58.084244703042536,-558.9802295071977,614.0617386292586,-712.0957868902957,-688.6484689864574,-508.32539527253675,-970.6116333170811,20.901549769722237,,COMPLETE
300,-1.0,2026-06-30 12:40:44.839416,2026-06-30 12:40:49.433302,0 days 00:00:04.593886,797.8976889990388,-551.8958144651424,337.9866956403982,-814.346061917786,-779.7635402427458,-261.263435083424,-832.8829137477553,0.399090669771919,,COMPLETE
301,0.0,2026-06-30 12:40:45.793478,2026-06-30 12:40:50.295160,0 days 00:00:04.501682,814.7226992646633,-507.03182552054216,351.9364903726267,-812.9040064069866,-783.5288524416048,-270.0805179458284,-894.7442752325048,-179.9164970150027,,COMPLETE
302,0.0,2026-06-30 12:40:49.472577,2026-06-30 12:40:55.683001,0 days 00:00:06.210424,838.840074617786,-506.0753156038871,468.0440948877165,-891.8225453112916,-657.6290855569466,-174.25709560306248,-895.675065497418,-77.35778057856001,,COMPLETE
303,-1.0,2026-06-30 12:40:50.318851,2026-06-30 12:40:54.391128,0 days 00:00:04.072277,935.7133173194336,-627.5235790952125,-395.05107967024264,-872.6602972101923,213.856921135606,-179.53498507596998,-921.2744561843296,110.55356815324396,,COMPLETE
304,0.0,2026-06-30 12:40:54.420575,2026-06-30 12:41:00.075279,0 days 00:00:05.654704,853.4277086140371,-455.08694272048035,456.9812242588491,-729.0243597225215,-734.418048990466,-563.6980790411824,-877.3860022445459,639.2605449913597,,COMPLETE
305,-1.0,2026-06-30 12:40:55.717152,2026-06-30 12:40:58.786456,0 days 00:00:03.069304,879.4229411351329,-689.6146347195773,454.72420597079895,-731.1499230972234,-725.8677497747458,-233.50517933053197,-850.367357422001,-27.873019761202563,,COMPLETE
306,-1.0,2026-06-30 12:40:58.823270,2026-06-30 12:41:03.476803,0 days 00:00:04.653533,929.5205455419101,-448.26798433228686,385.2289082316465,-641.6510658142352,-749.3061101907015,-376.09531028995485,-964.7155076906538,64.43991499820629,,COMPLETE
307,0.0,2026-06-30 12:41:00.097041,2026-06-30 12:41:04.291039,0 days 00:00:04.193998,925.6286507625965,-468.44310765722406,406.9450036600339,-623.6015711317416,-537.4018318822178,-47.35176321216443,-968.7615841511204,71.4105353917353,,COMPLETE
308,-1.0,2026-06-30 12:41:03.506638,2026-06-30 12:41:07.862024,0 days 00:00:04.355386,54.60535723970199,-533.4156498804399,566.4450621837047,-785.6837050687908,-646.4550021459172,-304.48929229483707,-943.4451523319301,-34.33614376404948,,COMPLETE
309,0.0,2026-06-30 12:41:04.307753,2026-06-30 12:41:09.211642,0 days 00:00:04.903889,758.5606028996547,81.82885862919936,531.7989971557648,-784.9685586500584,-646.3008685142813,-261.76526685896107,-999.4324410294382,-41.986514472103615,,COMPLETE
